TSSE,,with search,,with switch,,original,,,TSSE,,with search,,with switch,,original,
1,83.36792541,1,23.7916162,1,99.59252477,1,56,,1,83.36792541,1,23.7916162,1,99.59252477,1,56
2,180.2067638,2,48.04440522,2,205.7001703,2,118,,2,,2,48.04440522,2,205.7001703,2,118
3,281.1917449,3,73.61090445,3,314.1785274,3,186,,3,281.1917449,3,73.61090445,3,314.1785274,3,186
4,382.5243336,4,112.8930199,4,424.0297251,4,276,,4,382.5243336,4,112.8930199,4,424.0297251,4,276
5,484.6995875,5,152.865237,5,537.9058483,5,875,,5,484.6995875,5,152.865237,5,537.9058483,5,875
6,587.1365153,6,213.469342,6,657.6655274,,,,6,587.1365153,6,213.469342,6,657.6655274,,
7,690.461743,7,274.9775033,7,780.1927796,,,,7,690.461743,7,274.9775033,7,780.1927796,,
8,794.0517331,8,344.158211,8,920.1584778,,,,8,794.0517331,8,344.158211,8,920.1584778,,
9,897.7704917,9,413.8672652,9,1060.507689,,,,9,897.7704917,9,413.8672652,9,1060.507689,,
10,1001.98849,10,487.4879537,10,1202.563179,,,,10,1001.98849,10,487.4879537,10,1202.563179,,
11,1114.39183,11,561.8772643,11,1346.813375,,,,11,1114.39183,11,561.8772643,11,1346.813375,,
12,1231.056026,12,636.5758181,12,1493.554667,,,,12,1231.056026,12,636.5758181,12,1493.554667,,
13,1348.407429,,,13,1645.537308,,,,13,1348.407429,,,13,1645.537308,,
14,1476.438686,,,14,1815.293324,,,,14,1476.438686,,,14,1815.293324,,
15,1609.116477,,,,,,,,15,1609.116477,,,,,,
16,1742.837695,,,,,,,,16,1742.837695,,,,,,
17,1876.9085,,,,,,,,17,1876.9085,,,,,,
18,2015.765707,,,,,,,,18,2015.765707,,,,,,
19,2168.581346,,,,,,,,19,2168.581346,,,,,,
20,2321.982939,,,,,,,,20,2321.982939,,,,,,
21,2480.515754,,,,,,,,21,2480.515754,,,,,,
22,2641.941496,,,,,,,,22,2641.941496,,,,,,
