name,bug,states,time,,,,,,,human label,
RE/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f_PERSONALBANK.sol,TRUE,194,123.5415227,TRUE,TRUE,FALSE,Collect(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f_PERSONALBANK.sol_PERSONALBANK,122.6286478,Yse,TP
RE/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f1_PERSONALBANK.sol,TRUE,248,112.3696573,TRUE,TRUE,FALSE,Collect(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f1_PERSONALBANK.sol_PERSONALBANK,111.5427499,Yse,TP
RE/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4_PrivateBank.sol,TRUE,123,98.28041601,TRUE,FALSE,FALSE,CashOut(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4_PrivateBank.sol_PrivateBank,97.46733975,Yse,TP
RE/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb41_PrivateBank.sol,TRUE,165,106.844934,TRUE,TRUE,FALSE,CashOut(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb41_PrivateBank.sol_PrivateBank,105.8985124,Yse,TP
RE/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1_ACCURALDEPOSIT.sol,TRUE,194,123.3556435,TRUE,TRUE,FALSE,Collect(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1_ACCURALDEPOSIT.sol_ACCURALDEPOSIT,122.4847639,Yse,TP
RE/0x4e73b32ed6c35f570686b89848e5f39f20ecc106_PRIVATEETHCELL.sol,TRUE,216,152.2971144,TRUE,TRUE,FALSE,Collect(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0x4e73b32ed6c35f570686b89848e5f39f20ecc106_PRIVATEETHCELL.sol_PRIVATEETHCELL,151.4667535,Yse,TP
RE/0x4e73b32ed6c35f570686b89848e5f39f20ecc1061_PRIVATEETHCELL.sol,TRUE,266,141.1867466,TRUE,TRUE,FALSE,Collect(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0x4e73b32ed6c35f570686b89848e5f39f20ecc1061_PRIVATEETHCELL.sol_PRIVATEETHCELL,140.2974384,Yse,TP
RE/0x561eac93c92360949ab1f1403323e6db345cbf31_BANKSAFE.sol,TRUE,216,145.885474,TRUE,TRUE,FALSE,Collect(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0x561eac93c92360949ab1f1403323e6db345cbf31_BANKSAFE.sol_BANKSAFE,145.0415175,Yse,TP
RE/0x561eac93c92360949ab1f1403323e6db345cbf311_BANKSAFE.sol,TRUE,216,139.1015763,TRUE,TRUE,FALSE,Collect(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0x561eac93c92360949ab1f1403323e6db345cbf311_BANKSAFE.sol_BANKSAFE,138.1804371,Yse,TP
RE/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839_TokenBank.sol,FALSE,0,198.3305013,TRUE,TRUE,TRUE,"WithdrawToHolder(address,uint256)",/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/mcore_2mt6cbbd,197.5048139,No,TN
