,TSSE,,with-search,,with-switch,,pure-symbolic execution,,,,,,,,,,
1,30.90226,1,1.28562,1,0.84715,1,17,,,1,30.90226,1,1.28562,1,10.84715,1,17
2,32.89618,2,9.30771,2,0.84947,2,18,,,2,63.79844,2,10.59333,2,29.69662,2,52
3,37.15625,3,12.12999,3,1.30141,3,20,,,3,100.95469,3,22.72332,3,51.99803,3,107
4,38.83076,4,17.62,4,33.75381,4,56,,,4,139.78545,4,40.34332,4,85.75184,4,218
5,50.0493,5,18.31677,5,54.30139,5,62,,,5,189.83475,5,58.66009,5,140.05323,5,391
6,52.23505,6,18.33878,6,55.8863,6,68,,,6,242.0698,6,77.49383,6,195.93953,6,632
7,60.11165,7,18.65399,7,57.25362,7,90,,,7,302.18145,7,96.4357,7,263.19315,7,963
8,61.12578,8,18.83374,8,58.13264,,,,,8,363.30723,8,115.56327,8,333.15045,,
9,68.12825,9,18.94187,9,72.37011,,,,,9,425.67734,9,136.96414,9,405.83671,,
10,67.68626,10,19.12757,10,78.28042,,,,,10,493.95776,10,160.23344,10,493.96496,,
11,73.12825,11,19.50597,11,80.33749,,,,,11,564.29525,11,188.2192,11,583.10932,,
12,75.14436,12,21.40087,12,83.36793,,,,,12,640.43516,12,218.37128,12,676.71499,,
13,78.60567,13,23.2693,13,86.13991,,,,,13,720.28009,13,251.86331,13,772.00384,,
14,80.28885,14,23.79162,14,86.84493,,,,,14,800.68026,14,285.69935,14,871.12409,,
15,84.12025,15,24.25279,15,87.40017,,,,,15,889.25026,15,325.37298,15,974.48724,,
16,84.59252,16,25.5665,16,96.83884,,,,,16,979.05505,16,369.05864,16,1080.14046,,
17,85.03715,17,27.98576,17,100.98498,,,,,17,1069.0863,,,17,1186.97869,,
18,85.13748,18,30.15208,18,101.33259,,,,,18,1160.79836,,,18,1295.68363,,
19,88.36315,19,33.49203,19,102.17525,,,,,19,1258.67394,,,19,1427.32595,,
20,90.65322,20,33.83604,20,102.43693,,,,,20,1356.7356,,,,,,
21,91.10765,21,39.28212,21,103.32523,,,,,21,1458.10526,,,,,,
22,91.83823,22,39.67363,22,103.58999,,,,,22,1576.20799,,,,,,
23,93.47836,23,39.97222,23,103.71876,,,,,23,1695.39156,,,,,,
24,93.70494,24,43.68566,24,104.218,,,,,24,1815.95858,,,,,,
25,94.8512,25,60.60411,25,108.57,,,,,25,1938.36967,,,,,,
26,94.80479,26,61.50816,26,113.87612,,,,,26,2061.91119,,,,,,
27,105.03125,27,69.18071,27,119.75968,,,,,27,2191.00109,,,,,,
28,105.71206,28,69.70905,28,122.52725,,,,,28,2330.10267,,,,,,
29,110.87558,29,73.62069,29,131.64232,,,,,29,2475.98814,,,,,,
30,111.06166,30,74.38931,30,139.9657,,,,,30,2625.19397,,,,,,
31,111.30154,31,74.69855,31,140.34921,,,,,31,2777.49108,,,,,,
32,112.36966,,,32,142.05549,,,,,32,2933.74669,,,,,,
33,112.40334,,,33,144.2502,,,,,33,3106.89608,,,,,,
34,116.6642,,,34,146.74129,,,,,34,3305.22658,,,,,,
35,117.3514,,,35,151.98264,,,,,,,,,,,,
36,118.10273,,,36,169.75602,,,,,,,,,,,,
37,119.18357,,,,,,,,,,,,,,,,
38,120.56702,,,,,,,,,,,,,,,,
39,122.41109,,,,,,,,,,,,,,,,
40,123.35564,,,,,,,,,,,,,,,,
41,123.54152,,,,,,,,,,,,,,,,
42,128.03126,,,,,,,,,,,,,,,,
43,129.0899,,,,,,,,,,,,,,,,
44,132.67779,,,,,,,,,,,,,,,,
45,133.72122,,,,,,,,,,,,,,,,
46,134.07081,,,,,,,,,,,,,,,,
47,138.85721,,,,,,,,,,,,,,,,
48,139.10158,,,,,,,,,,,,,,,,
49,141.18675,,,,,,,,,,,,,,,,
50,145.88547,,,,,,,,,,,,,,,,
51,149.20583,,,,,,,,,,,,,,,,
52,152.29711,,,,,,,,,,,,,,,,
53,152.81564,,,,,,,,,,,,,,,,
54,153.40159,,,,,,,,,,,,,,,,
55,156.25561,,,,,,,,,,,,,,,,
56,158.53282,,,,,,,,,,,,,,,,
57,161.42574,,,,,,,,,,,,,,,,
58,173.14939,,,,,,,,,,,,,,,,
59,198.3305,,,,,,,,,,,,,,,,
